country,electricity_access,gdp,continent
Afghanistan,85.3,16417,Asia
Albania,100.0,22978,Europe
Algeria,100.0,247626,Africa
Andorra,100.0,3785,Europe
Angola,51.1,90552,Africa
Antigua and Barbuda,100.0,2033,North America
Argentina,100.0,646075,South America
Armenia,100.0,24219,Asia
Aruba,100.0,3649,North America
Australia,100.0,1775628,Oceania
Austria,100.0,511685,Europe
Azerbaijan,100.0,72356,Asia
Bahrain,100.0,44662,Asia
Bangladesh,99.5,422431,Asia
Barbados,100.0,6721,North America
Belarus,100.0,71857,Europe
Belgium,100.0,644783,Europe
Belize,99.6,3079,North America
Benin,57.0,19673,Africa
Bermuda,100.0,8142,North America
Bhutan,100.0,3019,Asia
Bolivia,99.8,45135,South America
Bosnia and Herzegovina,100.0,27515,Europe
Botswana,76.0,19396,Africa
Brazil,99.8,2191132,South America
British Virgin Islands,100.0,1506,North America
Bulgaria,100.0,102397,Europe
Burkina Faso,21.7,20325,Africa
Burundi,11.6,3960,Africa
Cambodia,95.0,42824,Asia
Cameroon,72.0,49279,Africa
Canada,100.0,2142471,North America
Cayman Islands,100.0,7127,North America
Central African Republic,17.6,2555,Africa
Chad,12.0,17643,Africa
Chile,100.0,335533,South America
China,100.0,17794782,Asia
Colombia,98.7,363540,South America
Comoros,89.8,1448,Africa
Costa Rica,100.0,86498,North America
Croatia,100.0,84391,Europe
Cuba,100.0,201986,North America
Curacao,100.0,3281,North America
Cyprus,100.0,33887,Europe
Denmark,100.0,407092,Europe
Djibouti,65.2,4000,Africa
Dominica,100.0,651,North America
Dominican Republic,99.6,121444,North America
Ecuador,98.7,118845,South America
El Salvador,98.3,34016,North America
Equatorial Guinea,66.9,12117,Africa
Eritrea,54.4,2275,Africa
Estonia,100.0,41291,Europe
Eswatini,86.4,4574,Africa
Ethiopia,55.4,159746,Africa
Fiji,99.3,5442,Oceania
Finland,100.0,295532,Europe
France,100.0,3051832,Europe
French Polynesia,100.0,6398,Oceania
Gabon,94.1,20056,Africa
Georgia,100.0,30536,Europe
Germany,100.0,4525704,Europe
Ghana,89.5,76370,Africa
Greece,100.0,243498,Europe
Greenland,100.0,3041,North America
Grenada,94.4,1317,North America
Guatemala,100.0,104451,North America
Guinea,51.1,23006,Africa
Guinea-Bissau,40.5,1841,Africa
Guyana,98.9,16683,South America
Haiti,51.3,19841,North America
Honduras,95.6,34401,North America
Hungary,100.0,212657,Europe
Iceland,100.0,31325,Europe
India,99.5,3575778,Asia
Indonesia,99.4,1371171,Asia
Iraq,100.0,232107,Asia
Ireland,100.0,551395,Europe
Israel,100.0,513611,Asia
Italy,100.0,2300941,Europe
Jamaica,97.7,19423,North America
Japan,100.0,4204495,Asia
Jordan,100.0,50814,Asia
